RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Bad,72,164.0,2,67,38,0,0,100,125.0,7,7,42,8,19,36.0,1,1,55.0,,7.0,2.0,3.0,67.0
Good,86,191.0,7,80,25,0,0,100,125.0,7,7,26,3,50,1.0,2,2,16.0,98.0,1.0,1.0,0.0,50.0
Good,75,222.0,2,124,23,2,2,92,62.0,7,2,25,2,24,0.0,0,0,30.0,57.0,4.0,2.0,1.0,40.0
Good,72,224.0,23,91,23,1,0,96,49.0,7,5,24,0,29,0.0,0,0,48.0,60.0,3.0,2.0,0.0,56.0
Good,81,190.0,6,84,21,0,0,100,125.0,7,7,21,2,29,7.0,0,0,8.0,91.0,5.0,2.0,0.0,88.0
Bad,63,246.0,5,113,10,0,0,90,5.0,6,6,10,1,20,6.0,0,0,97.0,,5.0,1.0,4.0,86.0
Good,82,180.0,37,106,16,0,0,94,35.0,7,6,16,0,13,0.0,2,2,3.0,,2.0,1.0,0.0,38.0
Good,70,206.0,19,75,17,0,0,100,125.0,7,7,18,0,28,0.0,1,1,58.0,,4.0,1.0,3.0,60.0
Bad,58,33.0,5,18,12,0,0,100,125.0,7,7,12,4,50,0.0,1,1,96.0,68.0,5.0,5.0,4.0,91.0
Good,83,187.0,2,75,30,0,0,100,125.0,7,7,32,1,45,2.0,1,1,5.0,84.0,1.0,5.0,0.0,55.0
Bad,68,68.0,10,33,16,0,0,100,125.0,7,7,16,2,13,0.0,2,2,53.0,58.0,5.0,2.0,3.0,64.0
Good,80,208.0,12,76,30,1,0,97,23.0,7,5,31,0,13,0.0,0,0,1.0,71.0,5.0,2.0,0.0,35.0
Good,72,202.0,2,62,28,0,0,83,7.0,6,6,30,3,24,2.0,2,2,6.0,63.0,2.0,2.0,0.0,33.0
Good,74,378.0,7,110,41,0,0,98,35.0,7,6,42,4,57,0.0,0,0,44.0,76.0,4.0,5.0,2.0,69.0
Good,90,184.0,71,106,4,0,0,100,125.0,7,7,4,0,50,0.0,0,0,0.0,,0.0,1.0,0.0,50.0
Bad,60,101.0,8,34,20,1,0,81,8.0,6,5,21,2,67,0.0,0,0,30.0,89.0,1.0,8.0,1.0,82.0
Good,86,467.0,10,123,25,0,0,96,17.0,7,6,26,1,31,9.0,0,0,3.0,34.0,4.0,1.0,0.0,50.0
Good,81,181.0,5,62,24,0,0,100,125.0,7,7,25,3,25,22.0,0,0,17.0,2.0,3.0,2.0,0.0,56.0
Bad,65,94.0,6,43,31,2,1,91,38.0,7,5,36,5,42,0.0,0,0,18.0,88.0,5.0,3.0,0.0,50.0
Good,72,135.0,10,67,25,1,1,92,29.0,7,2,32,2,31,36.0,1,1,5.0,,2.0,1.0,0.0,33.0
Bad,80,262.0,0,72,22,0,0,100,125.0,7,7,24,1,17,0.0,1,1,20.0,74.0,5.0,1.0,2.0,38.0
Good,75,159.0,10,58,9,1,1,91,66.0,7,3,11,1,9,0.0,3,3,15.0,,2.0,1.0,0.0,63.0
Bad,77,212.0,13,80,18,0,0,100,125.0,7,7,27,0,28,0.0,2,2,36.0,,8.0,1.0,1.0,91.0
Bad,69,155.0,3,52,31,0,0,100,125.0,7,7,31,1,29,36.0,2,2,51.0,98.0,3.0,3.0,2.0,46.0
Good,58,128.0,12,61,29,0,0,97,5.0,6,6,29,0,45,36.0,2,2,37.0,76.0,6.0,8.0,2.0,82.0
Bad,58,210.0,14,87,23,0,0,70,1.0,6,6,23,0,35,0.0,1,1,53.0,5.0,6.0,3.0,2.0,77.0
Bad,81,190.0,8,82,22,0,0,95,63.0,7,6,22,3,27,0.0,0,0,17.0,49.0,2.0,2.0,0.0,44.0
Bad,70,83.0,3,40,26,4,2,80,10.0,6,4,30,3,33,36.0,0,0,3.0,89.0,2.0,4.0,0.0,58.0
Good,91,197.0,47,104,18,0,0,100,125.0,7,7,18,0,11,0.0,0,0,3.0,,2.0,2.0,0.0,20.0
Good,70,118.0,7,45,17,0,0,88,11.0,6,6,17,4,35,0.0,0,0,15.0,,1.0,1.0,0.0,29.0
Bad,57,123.0,13,57,5,6,6,71,29.0,7,2,8,0,29,0.0,2,2,100.0,,1.0,1.0,1.0,100.0
Good,71,180.0,2,71,20,0,0,92,16.0,7,6,26,5,42,2.0,2,2,37.0,,4.0,1.0,0.0,63.0
Bad,84,215.0,8,73,25,1,0,93,38.0,7,5,27,1,41,20.0,0,0,0.0,,0.0,2.0,0.0,17.0
Bad,70,74.0,9,47,16,0,0,100,125.0,7,7,16,1,50,1.0,4,4,44.0,73.0,4.0,2.0,2.0,67.0
Bad,66,87.0,13,38,14,1,1,93,29.0,7,6,16,0,67,0.0,0,0,48.0,75.0,2.0,3.0,1.0,83.0
Good,76,146.0,12,54,13,0,0,100,125.0,7,7,14,0,36,0.0,0,0,48.0,49.0,2.0,3.0,0.0,100.0
Good,71,208.0,20,83,25,0,0,85,13.0,7,6,26,0,35,0.0,1,1,10.0,65.0,3.0,2.0,1.0,45.0
Bad,43,165.0,15,80,20,6,4,61,1.0,5,3,28,0,11,2.0,2,2,93.0,,15.0,2.0,7.0,100.0
Good,87,138.0,6,89,13,0,0,100,125.0,7,7,17,1,41,6.0,0,0,8.0,,2.0,1.0,0.0,75.0
Bad,65,369.0,25,145,40,3,3,91,19.0,7,2,45,0,36,0.0,2,2,83.0,46.0,13.0,4.0,6.0,89.0
Bad,68,116.0,1,51,20,0,0,100,125.0,7,7,21,2,24,0.0,2,2,50.0,,6.0,1.0,2.0,64.0
Good,83,171.0,2,77,12,0,0,92,55.0,7,6,14,1,31,0.0,0,0,12.0,78.0,2.0,2.0,0.0,80.0
Bad,68,132.0,5,43,13,0,0,100,125.0,7,7,13,2,15,0.0,2,1,72.0,,8.0,1.0,4.0,82.0
Bad,66,113.0,2,65,21,1,0,96,31.0,7,5,23,2,35,6.0,0,0,66.0,96.0,6.0,5.0,3.0,86.0
Bad,73,134.0,1,33,3,1,1,86,29.0,7,3,7,3,29,0.0,2,2,5.0,,2.0,1.0,1.0,75.0
Good,77,242.0,15,97,23,0,0,100,125.0,7,7,23,0,4,0.0,0,0,44.0,,5.0,1.0,2.0,50.0
Bad,67,325.0,13,106,12,0,0,62,1.0,6,6,33,0,38,36.0,0,0,92.0,14.0,2.0,2.0,0.5,80.0
Bad,62,118.0,6,56,13,1,1,73,5.0,6,6,16,1,33,0.0,1,1,39.0,18.0,2.0,2.0,0.0,80.0
Bad,60,163.0,2,57,43,1,0,96,22.0,7,5,47,11,44,0.0,8,8,35.0,62.0,7.0,1.0,1.0,47.0
Good,86,191.0,7,82,27,0,0,100,125.0,7,7,28,1,22,7.0,0,0,0.0,,0.0,1.0,0.0,8.0
Bad,62,163.0,11,53,22,0,0,87,23.0,7,6,23,1,39,0.0,0,0,68.0,92.0,6.0,2.0,3.0,89.0
Bad,86,294.0,9,118,16,0,0,100,125.0,7,7,16,1,19,0.0,0,0,18.0,,2.0,2.0,0.0,44.0
Good,80,234.0,0,62,27,0,0,100,125.0,7,7,35,4,26,0.0,3,3,22.0,,4.0,1.0,2.0,38.0
Bad,58,129.0,2,23,21,0,0,100,125.0,7,7,23,7,36,36.0,4,2,74.0,74.0,8.0,4.0,2.0,93.0
Good,72,403.0,31,180,23,0,0,87,56.0,7,6,23,0,17,0.0,1,1,53.0,,9.0,1.0,3.0,83.0
Bad,60,159.0,2,36,27,0,0,96,4.0,6,6,28,6,36,36.0,2,2,58.0,55.0,13.0,3.0,2.0,100.0
Bad,61,102.0,8,57,5,2,1,71,23.0,7,3,7,2,14,0.0,0,0,97.0,,3.0,1.0,1.0,80.0
Good,66,93.0,1,49,24,1,1,81,38.0,7,2,27,4,19,0.0,0,0,47.0,57.0,3.0,3.0,1.0,64.0
Bad,77,123.0,2,46,16,0,0,100,125.0,7,7,17,5,47,36.0,2,2,18.0,87.0,3.0,4.0,0.5,64.0
Bad,61,206.0,5,89,30,0,0,90,34.0,7,6,30,2,20,0.0,1,1,61.0,28.0,10.0,2.0,5.0,72.0
Good,85,207.0,3,63,21,0,0,100,125.0,7,7,21,1,29,4.0,1,1,9.0,70.0,3.0,2.0,0.0,45.0
Bad,57,212.0,2,87,29,1,1,94,61.0,7,6,32,4,47,0.0,5,5,57.0,69.0,6.0,2.0,2.0,73.0
Bad,66,59.0,10,34,4,0,0,100,125.0,7,7,4,2,75,0.0,5,5,89.0,74.0,1.0,2.0,0.5,100.0
Bad,59,220.0,2,70,29,0,0,97,4.0,6,6,30,2,47,0.0,0,0,55.0,89.0,4.0,3.0,3.0,70.0
Bad,64,141.0,1,29,23,1,1,96,39.0,7,2,26,7,12,1.0,7,7,34.0,87.0,10.0,2.0,0.0,82.0
Bad,73,213.0,1,149,15,0,0,89,18.0,7,6,18,2,28,36.0,0,0,58.0,,5.0,2.0,1.0,63.0
Bad,73,159.0,7,60,16,0,0,94,15.0,7,6,16,3,44,36.0,0,0,72.0,94.0,5.0,2.0,0.0,100.0
Bad,65,106.0,5,42,11,1,0,92,22.0,7,5,13,3,31,0.0,2,2,60.0,,4.0,1.0,1.0,83.0
Good,65,184.0,7,77,24,2,2,88,4.0,6,2,27,1,46,0.0,2,2,19.0,80.0,1.0,3.0,0.0,44.0
Bad,55,156.0,5,65,59,1,1,98,2.0,6,6,59,5,36,1.0,12,11,44.0,91.0,7.0,5.0,1.0,92.0
Bad,57,206.0,1,84,53,1,1,94,61.0,2,6,83,1,31,1.0,2,2,60.0,97.0,11.0,3.0,3.0,75.0
Good,80,124.0,10,54,17,1,0,94,69.0,7,5,18,1,44,0.0,2,1,28.0,62.0,2.0,3.0,0.0,63.0
Bad,84,394.0,3,134,26,0,0,96,16.0,7,6,27,3,56,0.0,1,1,7.0,80.0,5.0,3.0,0.0,73.0
Bad,60,79.0,6,32,18,0,0,100,125.0,7,7,19,6,26,0.0,4,4,20.0,100.0,6.0,2.0,1.0,57.0
Good,68,110.0,9,41,32,0,0,100,125.0,7,7,32,1,25,0.0,1,1,92.0,65.0,3.0,2.0,2.0,71.0
Bad,71,164.0,10,81,12,0,0,100,125.0,7,7,12,1,33,0.0,1,0,83.0,40.0,5.0,2.0,2.0,78.0
Bad,63,177.0,6,116,28,0,0,87,2.0,6,6,29,2,50,0.0,9,9,52.0,40.0,3.0,9.0,0.0,72.0
Good,65,521.0,10,159,36,0,0,90,3.0,6,6,39,1,41,0.0,0,0,19.0,85.0,7.0,2.0,0.0,64.0
Bad,67,299.0,2,79,25,0,0,89,15.0,7,6,27,3,37,0.0,12,11,63.0,63.0,13.0,3.0,4.0,94.0
Good,75,69.0,1,39,16,0,0,100,125.0,7,7,18,4,17,0.0,2,2,21.0,,4.0,1.0,0.0,50.0
Good,66,130.0,2,44,12,0,0,92,4.0,6,6,13,1,23,0.0,1,1,32.0,52.0,5.0,2.0,1.0,70.0
Good,79,197.0,17,100,15,0,0,93,29.0,7,6,15,0,40,5.0,1,1,48.0,26.0,1.0,2.0,1.0,75.0
Bad,67,189.0,13,111,8,4,4,70,68.0,7,3,10,0,50,0.0,1,1,97.0,,1.0,1.0,1.0,100.0
Bad,64,129.0,50,80,11,1,1,88,21.0,7,6,18,0,59,0.0,0,0,85.0,,2.0,2.0,0.0,75.0
Good,80,248.0,9,141,27,0,0,100,125.0,7,7,30,1,30,36.0,1,1,23.0,91.0,2.0,3.0,1.0,56.0
Good,69,216.0,36,82,15,1,1,93,24.0,7,6,15,0,33,0.0,0,0,51.0,,8.0,1.0,0.0,100.0
Good,67,203.0,45,144,12,1,1,86,2.0,2,2,23,0,36,36.0,0,0,76.0,90.0,3.0,2.0,0.0,83.0
Good,73,192.0,6,74,27,0,0,100,125.0,7,7,27,1,41,0.0,1,1,24.0,,6.0,4.0,2.0,59.0
Good,70,193.0,2,57,22,0,0,100,125.0,7,7,23,2,22,18.0,0,0,53.0,80.0,6.0,4.0,1.0,63.0
Bad,74,462.0,1,58,15,0,0,100,125.0,7,7,45,6,17,0.0,2,2,18.0,,6.0,2.0,2.0,67.0
Bad,60,313.0,2,78,27,4,1,76,9.0,6,3,33,4,36,0.0,5,5,42.0,30.0,6.0,2.0,1.0,73.0
Good,72,140.0,3,80,27,0,0,96,66.0,7,6,27,3,44,36.0,0,0,22.0,39.0,5.0,4.0,1.0,75.0
Bad,78,191.0,16,100,10,2,2,91,55.0,7,2,11,0,45,0.0,0,0,5.0,,2.0,1.0,0.0,75.0
Bad,65,155.0,3,62,39,0,0,80,26.0,7,6,40,7,48,4.0,1,1,45.0,66.0,4.0,5.0,1.0,71.0
Good,75,97.0,0,43,28,0,0,100,125.0,7,7,30,4,67,0.0,5,5,48.0,79.0,3.0,5.0,1.0,89.0
Bad,77,166.0,5,50,9,0,0,100,125.0,7,7,40,2,33,36.0,1,1,56.0,96.0,3.0,3.0,1.0,100.0
Good,65,165.0,3,53,27,2,1,86,61.0,7,4,35,5,41,36.0,6,6,31.0,60.0,6.0,3.0,1.0,69.0
Bad,70,132.0,1,41,21,0,0,100,125.0,7,7,23,9,22,36.0,3,3,50.0,99.0,3.0,1.0,1.0,50.0
Bad,72,209.0,2,95,41,0,0,100,125.0,7,7,42,3,38,0.0,1,1,42.0,,7.0,2.0,2.0,82.0
Good,89,209.0,1,96,22,0,0,100,125.0,7,7,26,3,38,5.0,1,1,18.0,59.0,2.0,3.0,0.0,71.0
Good,90,414.0,8,102,22,0,0,100,125.0,7,7,22,1,36,8.0,0,0,0.0,93.0,1.0,2.0,0.0,33.0
Good,77,129.0,15,66,19,0,0,95,48.0,7,6,19,0,47,14.0,0,0,40.0,29.0,2.0,2.0,0.0,80.0
Good,61,113.0,20,54,3,5,5,50,29.0,7,2,6,0,67,36.0,0,0,30.0,10.0,3.0,2.0,0.5,100.0
Good,71,180.0,9,46,15,0,0,88,21.0,7,6,16,3,44,8.0,0,0,32.0,89.0,3.0,2.0,0.0,63.0
Bad,56,165.0,1,71,1,6,5,75,34.0,7,5,9,2,50,0.0,3,3,0.0,,0.0,1.0,0.0,67.0
Good,80,360.0,2,114,27,0,0,97,25.0,7,6,29,2,62,0.0,1,1,10.0,100.0,3.0,2.0,2.0,63.0
Good,80,138.0,44,97,26,0,0,100,125.0,7,7,34,0,62,6.0,0,0,8.0,,1.0,1.0,0.0,33.0
Good,58,78.0,4,46,18,0,0,95,23.0,7,6,19,3,16,36.0,2,2,87.0,,11.0,1.0,5.0,80.0
Good,91,429.0,59,161,9,0,0,100,125.0,7,7,9,0,11,0.0,0,0,9.0,,2.0,2.0,0.0,50.0
Good,77,171.0,2,73,23,0,0,100,125.0,7,7,24,2,29,2.0,5,5,19.0,25.0,3.0,2.0,0.0,50.0
Bad,79,130.0,5,71,31,0,0,100,125.0,7,7,32,2,55,0.0,2,2,32.0,88.0,2.0,7.0,0.0,75.0
Good,67,125.0,6,57,19,2,0,81,12.0,7,5,22,4,19,23.0,1,0,16.0,48.0,3.0,3.0,0.0,55.0
Bad,69,41.0,15,33,5,0,0,89,28.0,7,6,9,0,100,0.0,1,1,30.0,50.0,3.0,2.0,0.5,100.0
Good,78,249.0,7,86,37,0,0,100,125.0,7,7,54,5,42,2.0,4,4,41.0,84.0,4.0,6.0,0.0,79.0
Good,75,162.0,8,93,18,1,1,95,25.0,7,2,19,1,26,0.0,0,0,19.0,82.0,4.0,3.0,0.0,78.0
Bad,75,113.0,97,105,2,0,0,100,125.0,7,7,2,0,0,0.0,0,0,101.0,,2.0,2.0,1.0,100.0
Bad,71,162.0,11,51,13,0,0,92,13.0,7,6,13,1,15,0.0,0,0,51.0,,3.0,1.0,1.0,50.0
Bad,58,183.0,11,36,30,0,0,100,125.0,7,7,32,3,17,36.0,8,7,87.0,,15.0,2.0,10.0,81.0
Bad,72,141.0,1,66,10,0,0,83,15.0,7,6,12,2,25,0.0,1,1,49.0,94.0,2.0,1.0,1.0,33.0
Good,64,240.0,4,83,33,0,0,94,48.0,7,6,37,1,58,36.0,1,1,62.0,80.0,6.0,4.0,2.0,77.0
Bad,65,75.0,10,32,16,0,0,88,2.0,6,6,16,2,25,4.0,2,2,37.0,83.0,7.0,2.0,0.0,69.0
Bad,76,325.0,6,79,20,0,0,95,11.0,6,6,20,1,45,0.0,3,2,3.0,64.0,2.0,4.0,0.0,80.0
Bad,76,132.0,5,54,24,0,0,96,80.0,7,6,24,3,17,36.0,1,1,15.0,91.0,4.0,2.0,1.0,75.0
Good,60,160.0,3,48,16,0,0,81,5.0,6,6,16,4,31,4.0,2,2,65.0,74.0,2.0,3.0,1.0,63.0
Good,67,106.0,3,44,15,1,1,88,7.0,6,2,17,1,38,0.0,5,5,0.0,85.0,1.0,4.0,0.0,56.0
Good,65,108.0,4,51,29,0,0,97,69.0,7,6,29,3,45,0.0,0,0,58.0,108.0,8.0,6.0,2.0,74.0
Good,64,231.0,2,62,28,1,1,97,22.0,7,2,30,2,23,1.0,2,2,63.0,55.0,9.0,1.0,4.0,56.0
Bad,72,79.0,2,26,13,0,0,100,125.0,7,7,15,2,27,0.0,1,1,28.0,65.0,6.0,3.0,1.0,69.0
Good,65,165.0,2,43,25,0,0,100,125.0,7,7,26,7,15,0.0,2,1,35.0,96.0,7.0,3.0,2.0,59.0
Bad,67,215.0,17,75,34,0,0,100,125.0,7,7,34,0,50,36.0,0,0,90.0,75.0,9.0,2.0,6.0,85.0
Bad,66,180.0,6,59,31,0,0,100,125.0,7,7,31,3,35,36.0,0,0,60.0,70.0,5.0,4.0,2.0,82.0
Bad,55,89.0,18,45,13,2,2,87,2.0,2,2,15,0,13,0.0,0,0,37.0,,3.0,1.0,1.0,57.0
Bad,61,271.0,9,86,26,0,0,89,3.0,6,6,27,1,56,0.0,1,1,57.0,67.0,6.0,5.0,2.0,92.0
Bad,70,296.0,23,164,13,1,1,92,45.0,7,6,13,0,31,36.0,1,0,39.0,2.0,3.0,2.0,1.0,63.0
Bad,68,353.0,1,131,10,7,2,50,20.0,7,4,20,1,40,0.0,2,2,27.0,,2.0,2.0,1.0,50.0
Good,82,96.0,5,47,16,0,0,100,125.0,7,7,16,3,31,0.0,0,0,15.0,88.0,4.0,2.0,0.0,67.0
Bad,56,146.0,3,41,37,0,0,100,125.0,7,7,41,4,24,4.0,1,1,75.0,75.0,15.0,2.0,5.0,90.0
Bad,77,179.0,11,60,20,0,0,90,51.0,7,6,20,1,25,0.0,2,2,23.0,78.0,1.0,1.0,1.0,18.0
Bad,81,79.0,9,45,12,0,0,100,125.0,7,7,16,2,44,0.0,0,0,7.0,82.0,3.0,2.0,0.0,56.0
Good,85,173.0,16,51,9,0,0,100,125.0,7,7,28,0,0,0.0,1,1,13.0,,4.0,2.0,0.0,80.0
Good,64,223.0,3,77,21,0,0,100,125.0,7,7,21,1,10,0.0,6,6,93.0,,6.0,1.0,3.0,100.0
Good,85,149.0,8,63,15,0,0,100,125.0,7,7,15,1,40,0.0,2,2,5.0,32.0,1.0,3.0,0.0,44.0
Good,72,186.0,4,83,22,1,1,80,12.0,7,3,26,1,16,4.0,1,1,68.0,27.0,4.0,2.0,2.0,50.0
Good,70,97.0,4,48,20,0,0,100,125.0,7,7,20,4,50,36.0,3,3,45.0,68.0,4.0,2.0,2.0,60.0
Good,75,124.0,11,60,11,1,1,85,24.0,7,3,13,1,15,0.0,6,6,0.0,,1.0,1.0,0.0,38.0
Good,63,154.0,7,75,26,0,0,88,10.0,6,6,26,3,27,2.0,1,1,69.0,,5.0,1.0,2.0,75.0
Bad,77,269.0,15,54,10,0,0,100,125.0,7,7,11,0,60,0.0,1,1,27.0,75.0,2.0,2.0,1.0,80.0
Bad,56,125.0,4,47,10,0,0,83,3.0,6,6,12,1,17,0.0,1,1,85.0,,4.0,1.0,4.0,71.0
Bad,59,183.0,2,73,28,1,1,90,2.0,2,2,31,2,32,0.0,10,10,66.0,62.0,5.0,3.0,1.0,57.0
Bad,85,143.0,1,71,12,0,0,100,125.0,7,7,13,3,23,1.0,1,1,12.0,100.0,2.0,2.0,0.0,50.0
Good,75,325.0,7,101,23,1,1,96,65.0,7,6,24,1,63,6.0,0,0,47.0,70.0,4.0,4.0,0.0,89.0
Bad,91,325.0,4,103,23,0,0,100,125.0,7,7,26,2,77,3.0,1,1,4.0,58.0,2.0,5.0,0.0,64.0
Good,80,265.0,2,92,40,0,0,95,33.0,7,6,42,2,38,0.0,1,1,7.0,100.0,4.0,6.0,1.0,71.0
Good,87,210.0,19,110,8,0,0,100,125.0,7,7,10,0,50,18.0,0,0,19.0,,2.0,1.0,0.0,60.0
Bad,78,199.0,7,73,39,0,0,95,22.0,7,6,40,1,21,36.0,1,0,15.0,19.0,2.0,5.0,1.0,50.0
Bad,82,192.0,8,88,17,0,0,94,81.0,7,6,17,1,35,36.0,0,0,0.0,92.0,1.0,2.0,0.0,38.0
Good,68,110.0,5,48,14,0,0,71,23.0,7,6,14,1,43,0.0,1,1,30.0,78.0,3.0,2.0,1.0,83.0
Bad,64,79.0,3,38,16,0,0,100,125.0,7,7,18,5,29,36.0,8,8,53.0,99.0,5.0,1.0,1.0,86.0
Good,83,102.0,5,40,14,0,0,100,125.0,7,7,15,6,14,0.0,1,1,8.0,,1.0,1.0,0.0,18.0
Bad,65,269.0,10,100,14,0,0,93,6.0,6,6,14,1,36,0.0,1,1,86.0,72.0,4.0,3.0,1.0,100.0
Good,86,235.0,7,111,20,0,0,100,125.0,7,7,20,1,25,0.0,0,0,12.0,70.0,7.0,2.0,0.0,90.0
Bad,68,377.0,10,81,16,1,0,90,58.0,7,5,21,3,29,0.0,2,1,54.0,35.0,8.0,2.0,1.0,85.0
Good,87,441.0,7,114,20,0,0,100,125.0,7,7,21,2,30,36.0,3,3,3.0,50.0,2.0,1.0,1.0,33.0
Good,65,14.0,0,4,3,0,0,100,125.0,7,7,6,5,33,36.0,9,9,1.0,98.0,1.0,2.0,0.0,50.0
Bad,63,70.0,6,35,5,2,2,83,66.0,7,2,7,2,67,0.0,9,7,15.0,81.0,1.0,2.0,0.5,100.0
Bad,82,133.0,14,88,9,0,0,100,125.0,7,7,9,0,44,0.0,0,0,0.0,,0.0,1.0,0.5,50.0
Bad,68,118.0,7,64,11,0,0,86,9.0,6,6,14,1,64,0.0,1,1,27.0,65.0,1.0,5.0,0.0,100.0
Good,91,342.0,42,130,14,0,0,100,125.0,7,7,14,0,36,0.0,0,0,3.0,,2.0,2.0,0.0,50.0
Bad,67,150.0,3,80,22,1,1,88,21.0,7,4,25,2,24,0.0,0,0,67.0,99.0,4.0,2.0,2.0,78.0
Good,76,109.0,10,50,14,0,0,100,125.0,7,7,14,3,71,0.0,2,2,0.0,93.0,0.0,2.0,0.5,40.0
Bad,70,167.0,2,61,19,0,0,70,11.0,6,6,20,2,35,0.0,1,1,4.0,76.0,3.0,3.0,0.0,70.0
Bad,74,390.0,0,81,24,1,1,93,7.0,2,2,27,3,44,0.0,1,1,26.0,87.0,2.0,2.0,0.0,40.0
Bad,65,111.0,19,63,23,1,1,92,25.0,7,2,25,0,64,0.0,4,4,72.0,114.0,1.0,8.0,0.0,90.0
Good,85,208.0,2,73,11,0,0,100,125.0,7,7,13,2,38,1.0,2,2,19.0,,2.0,2.0,1.0,80.0
Bad,65,157.0,6,44,13,1,0,93,30.0,7,5,14,4,36,4.0,1,1,23.0,80.0,3.0,2.0,0.5,67.0
Good,72,214.0,17,61,21,0,0,100,125.0,7,7,21,0,33,0.0,0,0,66.0,66.0,7.0,2.0,2.0,64.0
Bad,66,322.0,17,102,28,0,0,100,125.0,7,7,28,0,43,0.0,1,1,67.0,72.0,6.0,6.0,3.0,71.0
Good,87,133.0,11,88,14,0,0,100,125.0,7,7,22,1,14,22.0,0,0,3.0,14.0,1.0,1.0,0.0,67.0
Bad,75,224.0,4,63,18,1,0,84,10.0,6,5,19,5,26,0.0,0,0,15.0,,4.0,1.0,1.0,56.0
Good,73,207.0,11,66,23,0,0,92,2.0,6,6,24,1,33,10.0,0,0,0.0,14.0,1.0,3.0,0.0,80.0
Bad,61,21.0,4,9,9,0,0,100,125.0,7,7,9,6,78,0.0,3,3,73.0,68.0,1.0,3.0,1.0,80.0
Good,72,257.0,3,124,13,2,2,93,80.0,7,6,14,1,36,3.0,1,1,27.0,81.0,1.0,1.0,0.0,100.0
Good,84,288.0,2,85,11,0,0,100,125.0,7,7,13,1,38,17.0,1,0,20.0,,2.0,1.0,1.0,38.0
Bad,74,340.0,11,74,21,0,0,95,20.0,7,6,21,1,29,0.0,1,1,33.0,81.0,7.0,2.0,1.0,69.0
Bad,65,397.0,4,149,18,2,1,76,1.0,6,5,21,2,48,0.0,1,1,0.0,,1.0,1.0,0.0,67.0
Good,77,368.0,29,130,16,1,1,71,29.0,7,3,17,0,18,0.0,0,0,12.0,31.0,4.0,1.0,0.0,50.0
Good,66,147.0,4,68,37,5,4,90,73.0,7,2,42,3,43,1.0,1,1,65.0,78.0,10.0,3.0,2.0,87.0
Good,81,151.0,19,82,21,1,0,95,63.0,7,5,22,0,23,0.0,0,0,1.0,46.0,1.0,4.0,0.0,100.0
Bad,60,110.0,25,53,1,1,0,67,7.0,6,5,4,0,67,0.0,6,6,30.0,,3.0,2.0,0.5,67.0
Bad,68,164.0,12,78,48,1,1,94,6.0,6,6,50,0,29,0.0,2,2,67.0,56.0,4.0,10.0,2.0,74.0
Good,65,121.0,16,68,21,0,0,95,14.0,7,6,21,0,24,36.0,0,0,87.0,30.0,5.0,2.0,4.0,78.0
Good,87,321.0,8,96,40,0,0,100,125.0,7,7,41,2,10,0.0,1,0,2.0,,8.0,1.0,0.0,38.0
Bad,76,168.0,12,63,21,1,1,88,66.0,7,4,24,0,54,19.0,0,0,48.0,67.0,3.0,6.0,0.0,69.0
Bad,71,85.0,4,50,48,0,0,100,125.0,7,7,49,4,4,2.0,6,6,12.0,,7.0,1.0,1.0,27.0
Good,79,463.0,3,88,45,0,0,100,125.0,7,7,46,5,20,3.0,1,1,12.0,98.0,3.0,2.0,0.0,56.0
Good,78,149.0,5,57,22,0,0,100,125.0,7,7,22,3,27,0.0,1,1,16.0,96.0,4.0,3.0,0.0,73.0
Good,89,255.0,32,106,9,0,0,100,125.0,7,7,9,0,22,0.0,1,1,2.0,,2.0,1.0,0.5,100.0
Bad,64,173.0,2,77,7,0,0,100,125.0,7,7,8,2,0,0.0,5,4,100.0,,3.0,2.0,2.0,100.0
Bad,60,47.0,12,31,2,0,0,33,5.0,6,6,3,0,33,0.0,0,0,72.0,,1.0,2.0,0.0,100.0
Bad,81,63.0,6,37,13,0,0,100,125.0,7,7,13,2,31,36.0,0,0,10.0,57.0,4.0,2.0,0.0,60.0
Good,71,236.0,1,69,19,0,0,91,2.0,6,6,22,3,50,1.0,4,3,18.0,,3.0,2.0,0.0,56.0
Bad,85,194.0,4,82,30,0,0,100,125.0,7,7,34,1,26,2.0,2,2,4.0,,3.0,1.0,0.0,42.0
Bad,72,126.0,12,64,15,0,0,100,125.0,7,7,15,0,47,0.0,2,2,77.0,69.0,4.0,2.0,2.0,75.0
Bad,76,333.0,7,144,25,0,0,100,125.0,7,7,25,2,36,10.0,0,0,40.0,70.0,6.0,4.0,1.0,69.0
Bad,65,360.0,14,67,10,1,1,55,17.0,7,3,11,0,45,0.0,0,0,49.0,,2.0,1.0,0.5,60.0
